,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1624,10000000,[18],en,15.064833,"[14, 2253, 23201]","['CA', 'US']",1997-12-05,225933435.0,126.0,['en'],Good Will Hunting,7.9,2880.0,1997,215933435.0
1640,110000000,"[12, 28, 53]",en,17.159576,[7576],"['GB', 'US']",1997-12-11,333011068.0,119.0,"['de', 'en', 'da', 'zh', 'cn']",Tomorrow Never Dies,6.0,941.0,1997,223011068.0
1535,85000000,"[28, 53]",en,12.173291,"[441, 919, 18990]","['DE', 'US']",1997-07-25,315156409.0,124.0,"['en', 'ru']",Air Force One,6.2,859.0,1997,230156409.0
1587,18000000,[35],en,12.799853,"[686, 1382, 10163]","['GB', 'US']",1997-07-03,251212670.0,85.0,['en'],Bean,6.3,602.0,1997,233212670.0
1563,3500000,[35],en,8.333322,"[181, 306, 8764]",['GB'],1997-08-13,257850122.0,91.0,['en'],The Full Monty,6.9,372.0,1997,254350122.0
1425,45000000,[35],en,10.102471,"[23, 33]",['US'],1997-03-21,302710615.0,86.0,['en'],Liar Liar,6.4,1456.0,1997,257710615.0
1498,38000000,"[35, 10749]",en,4.678572,[559],['US'],1997-06-19,299288605.0,105.0,"['en', 'fr', 'it']",My Best Friend's Wedding,6.4,606.0,1997,261288605.0
1689,50000000,"[35, 10749]",en,9.374049,"[18, 559]",['US'],1997-12-19,314178011.0,139.0,['en'],As Good as It Gets,7.2,946.0,1997,264178011.0
1508,90000000,"[28, 12, 35, 878]",en,15.781024,"[56, 441, 49325]",['US'],1997-07-02,589390539.0,98.0,"['en', 'es']",Men in Black,6.9,4521.0,1997,499390539.0
1639,200000000,"[18, 10749, 53]",en,26.88907,"[4, 306, 574]",['US'],1997-11-18,1845034188.0,194.0,"['en', 'fr', 'de', 'sv', 'it', 'ru']",Titanic,7.5,7770.0,1997,1645034188.0
