,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1,65000000,"[12, 14, 10751]",en,17.015539,"[559, 2550, 10201]",['US'],1995-12-15,262797249.0,104.0,"['en', 'fr']",Jumanji,6.9,2413.0,1995,197797249.0
33,30000000,"[14, 18, 35, 10751]",en,14.404764,"[33, 2537]","['AU', 'US']",1995-07-18,254134910.0,89.0,['en'],Babe,6.0,756.0,1995,224134910.0
150,100000000,"[28, 80, 14]",en,13.321354,"[6194, 31080]","['GB', 'US']",1995-06-16,336529144.0,121.0,['en'],Batman Forever,5.2,1529.0,1995,236529144.0
155,50000000,"[14, 35, 10751]",en,12.812539,"[33, 56, 11098]",['US'],1995-05-26,287928194.0,100.0,['en'],Casper,6.0,1045.0,1995,237928194.0
162,90000000,"[28, 53]",en,15.138855,"[306, 1504]",['US'],1995-05-19,366101666.0,128.0,"['en', 'de', 'ro']",Die Hard: With a Vengeance,6.9,2094.0,1995,276101666.0
47,55000000,"[12, 16, 18, 10751]",en,13.280069,"[2, 10217]",['US'],1995-06-14,346079773.0,81.0,['en'],Pocahontas,6.7,1509.0,1995,291079773.0
9,58000000,"[12, 28, 53]",en,14.686036,"[60, 7576]","['GB', 'US']",1995-11-16,352194034.0,130.0,"['en', 'ru', 'es']",GoldenEye,6.6,1194.0,1995,294194034.0
46,33000000,"[80, 9648, 53]",en,18.45743,"[12, 4286, 65394]",['US'],1995-09-22,327311859.0,127.0,['en'],Se7en,8.1,5915.0,1995,294311859.0
147,52000000,[18],en,18.761467,"[23, 33]",['US'],1995-06-30,355237933.0,140.0,['en'],Apollo 13,7.3,1637.0,1995,303237933.0
0,30000000,"[16, 35, 10751]",en,21.946943,[3],['US'],1995-10-30,373554033.0,81.0,['en'],Toy Story,7.7,5415.0,1995,343554033.0
