,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
3633,120000000,[18],en,18.911961,"[6194, 16061, 18990]",['US'],2000-03-15,325756637.0,130.0,['en'],The Perfect Storm,6.2,609.0,2000,205756637.0
3671,75000000,"[12, 28, 878]",en,0.954467,[],['US'],2000-07-13,296339527.0,104.0,['en'],X-Men,6.8,4172.0,2000,221339527.0
3863,123000000,"[10751, 35, 14]",en,11.642462,"[23, 33]","['DE', 'US']",2000-11-17,345141403.0,104.0,['en'],How the Grinch Stole Christmas,6.2,1440.0,2000,222141403.0
3493,127500000,"[16, 10751]",en,9.998415,"[2, 10217]",['US'],2000-05-19,354248063.0,82.0,['en'],Dinosaur,6.2,563.0,2000,226748063.0
3663,19000000,[35],en,12.446738,"[1607, 1608, 7405, 10958]",['US'],2000-07-07,278019771.0,88.0,['en'],Scary Movie,6.0,1468.0,2000,259019771.0
3823,55000000,"[35, 10749]",en,14.178281,"[27, 33, 11391, 41248]",['US'],2000-10-06,330444045.0,108.0,['en'],Meet the Parents,6.6,1743.0,2000,275444045.0
3893,70000000,"[35, 10749]",en,9.963079,"[4, 347, 4564, 8116]",['US'],2000-12-15,374111707.0,127.0,"['en', 'fr']",What Women Want,6.1,1021.0,2000,304111707.0
3897,90000000,"[12, 18]",en,21.296343,"[27, 306, 4171, 11395]",['US'],2000-12-22,429632142.0,143.0,"['ru', 'en']",Cast Away,7.5,3304.0,2000,339632142.0
3456,103000000,"[28, 18, 12]",en,23.186667,"[27, 33, 1645, 14440, 21904, 21905, 21906]","['GB', 'US']",2000-05-01,457640427.0,155.0,['en'],Gladiator,7.9,5566.0,2000,354640427.0
3501,125000000,"[12, 28, 53]",en,18.97178,"[4, 44, 51199]","['DE', 'US']",2000-05-24,546388105.0,123.0,['en'],Mission: Impossible II,5.9,1966.0,2000,421388105.0
