,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
20550,135000000,"[12, 16, 35, 10751, 14]",en,14.757874,[521],['US'],2013-03-20,585178928.0,98.0,['en'],The Croods,6.8,2447.0,2013,450178928.0
21941,170000000,"[28, 12, 14]",en,34.905447,[420],['US'],2013-10-29,644571402.0,112.0,['en'],Thor: The Dark World,6.8,4873.0,2013,474571402.0
21101,200000000,"[16, 10751]",en,16.267502,"[2, 3]",['US'],2013-06-20,743559607.0,104.0,['en'],Monsters University,7.0,3622.0,2013,543559607.0
21592,105000000,"[878, 53, 18]",en,18.50194,"[6194, 7364, 7470]","['GB', 'US']",2013-09-27,716392705.0,91.0,['en'],Gravity,7.3,5879.0,2013,611392705.0
20970,160000000,"[28, 53, 80]",en,1.657637,"[13, 33, 333, 1225, 3341, 6452, 7295, 9341, 48499]",['US'],2013-05-06,788679850.0,130.0,"['en', 'ru', 'es']",Fast & Furious 6,6.7,5282.0,2013,628679850.0
22059,250000000,"[12, 14]",en,20.644776,"[11, 12, 174, 8411]","['NZ', 'US']",2013-12-11,958400000.0,161.0,['en'],The Hobbit: The Desolation of Smaug,7.6,4633.0,2013,708400000.0
22058,130000000,"[12, 28, 878]",en,25.309139,"[1632, 5420]",['US'],2013-11-15,847423452.0,146.0,['en'],The Hunger Games: Catching Fire,7.4,6656.0,2013,717423452.0
21161,76000000,"[16, 35, 10751]",en,24.82355,"[33, 6704]",['US'],2013-06-25,970761885.0,98.0,['en'],Despicable Me 2,7.0,4729.0,2013,894761885.0
20830,200000000,"[28, 12, 878]",en,23.721243,[420],"['CN', 'US']",2013-04-18,1215439994.0,130.0,['en'],Iron Man 3,6.8,8951.0,2013,1015439994.0
22110,150000000,"[16, 12, 10751]",en,24.248243,"[2, 6125]",['US'],2013-11-27,1274219009.0,102.0,['en'],Frozen,7.3,5440.0,2013,1124219009.0
