,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
2595,60000,"[27, 9648]",en,14.838386,"[2188, 15160]",['US'],1999-07-14,248000000.0,81.0,['en'],The Blair Witch Project,6.3,1090.0,1999,247940000.0
2568,33000000,"[12, 35, 80, 878]",en,13.984182,[],['US'],1999-06-08,310940086.0,95.0,"['de', 'en']",Austin Powers: The Spy Who Shagged Me,6.1,1034.0,1999,277940086.0
2572,150000000,"[12, 16, 18, 10751]",en,12.453452,[2],['US'],1999-06-18,448000000.0,88.0,['en'],Tarzan,7.1,1715.0,1999,298000000.0
2556,42000000,"[10749, 35, 18]",en,9.874043,"[282, 283, 10163, 31080]","['GB', 'US']",1999-05-13,363889678.0,124.0,"['en', 'es']",Notting Hill,7.0,1309.0,1999,321889678.0
2503,80000000,"[12, 28, 14]",en,23.984065,"[33, 11462]",['US'],1999-04-16,415885488.0,124.0,"['en', 'ar']",The Mummy,6.6,2796.0,1999,335885488.0
2742,15000000,[18],en,20.726578,"[27, 2721]",['US'],1999-09-15,356296601.0,122.0,['en'],American Beauty,7.9,3438.0,1999,341296601.0
2458,63000000,"[28, 878]",en,33.366332,"[79, 372, 1885, 6194]","['AU', 'US']",1999-03-30,463517383.0,136.0,['en'],The Matrix,7.9,9079.0,1999,400517383.0
2997,90000000,"[16, 35, 10751]",en,17.547693,[3],['US'],1999-10-30,497366869.0,92.0,['en'],Toy Story 2,7.3,3914.0,1999,407366869.0
2647,40000000,"[9648, 53, 18]",en,18.449169,"[158, 862, 915, 17032]",['US'],1999-08-06,672806292.0,107.0,"['la', 'es', 'en']",The Sixth Sense,7.7,3223.0,1999,632806292.0
2514,115000000,"[12, 28, 878]",en,15.649091,[1],['US'],1999-05-19,924317558.0,136.0,['en'],Star Wars: Episode I - The Phantom Menace,6.4,4526.0,1999,809317558.0
