,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
16130,260000000,"[16, 10751]",en,14.684761,"[2, 6125]",['US'],2010-11-24,591794936.0,100.0,['en'],Tangled,7.4,3419.0,2010,331794936.0
16129,15000000,"[18, 36]",en,11.260387,"[308, 2452, 5005, 7217, 7309, 7493, 19578, 19579]",['GB'],2010-09-06,414211549.0,118.0,['en'],The King's Speech,7.6,2817.0,2010,399211549.0
15153,200000000,"[12, 28, 878]",en,19.083344,[420],['US'],2010-04-28,623933331.0,124.0,"['en', 'ru', 'fr']",Iron Man 2,6.6,6969.0,2010,423933331.0
15472,69000000,"[16, 10751]",en,22.274502,"[33, 6704]",['US'],2010-07-08,543513985.0,95.0,['en'],Despicable Me,7.1,6595.0,2010,474513985.0
15372,165000000,"[35, 12, 14, 16, 10751]",en,11.803808,[521],['US'],2010-05-16,752600867.0,93.0,['en'],Shrek Forever After,6.0,2021.0,2010,587600867.0
15408,68000000,"[12, 14, 18, 10749]",en,34.047399,"[491, 4000, 5218, 5219, 12292]",['US'],2010-06-23,698491347.0,124.0,['en'],The Twilight Saga: Eclipse,5.9,2382.0,2010,630491347.0
15480,160000000,"[28, 53, 878, 9648, 12]",en,29.108149,"[923, 6194, 9996]","['GB', 'US']",2010-07-14,825532764.0,148.0,['en'],Inception,8.1,14075.0,2010,665532764.0
16128,250000000,"[12, 14, 10751]",en,23.300362,"[6194, 7364]","['GB', 'US']",2010-10-17,954305868.0,146.0,['en'],Harry Potter and the Deathly Hallows: Part 1,7.5,5708.0,2010,704305868.0
14892,200000000,"[10751, 14, 12]",en,17.285093,"[2, 598, 8601, 16314, 20004]",['US'],2010-03-03,1025491110.0,108.0,['en'],Alice in Wonderland,6.4,4773.0,2010,825491110.0
15348,200000000,"[16, 10751, 35]",en,16.96647,"[2, 3]",['US'],2010-06-16,1066969703.0,103.0,"['en', 'es']",Toy Story 3,7.6,4710.0,2010,866969703.0
