,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
23359,250000000,"[28, 12, 14, 878]",en,26.058586,[],"['GB', 'US']",2014-05-15,747862775.0,131.0,['en'],X-Men: Days of Future Past,7.5,6155.0,2014,497862775.0
23187,200000000,"[28, 12, 14]",en,26.23687,"[5, 19551, 31828, 53462]",['US'],2014-04-16,705717432.0,142.0,['en'],The Amazing Spider-Man 2,6.5,4274.0,2014,505717432.0
22879,165000000,"[12, 18, 878]",en,32.213481,"[4, 923, 6194, 9996, 13769]","['CA', 'US', 'GB']",2014-11-05,675120017.0,169.0,['en'],Interstellar,8.1,11187.0,2014,510120017.0
23692,170000000,"[878, 28, 18, 53]",en,75.385211,"[290, 7076, 22213]",['US'],2014-06-26,710644566.0,130.0,['en'],Dawn of the Planet of the Apes,7.3,4511.0,2014,540644566.0
23053,170000000,"[28, 12, 878]",en,18.717704,[420],['US'],2014-03-20,714766572.0,136.0,['en'],Captain America: The Winter Soldier,7.6,5881.0,2014,544766572.0
23437,180000000,"[14, 12, 28, 10751, 10749]",en,19.467404,"[2, 3036, 16314]",['US'],2014-05-28,758539785.0,97.0,['en'],Maleficent,7.0,4607.0,2014,578539785.0
23753,170000000,"[28, 878, 12]",en,53.291601,"[420, 20478, 54850, 76043]","['GB', 'US']",2014-07-30,773328629.0,121.0,['en'],Guardians of the Galaxy,7.9,10014.0,2014,603328629.0
24873,125000000,"[878, 12, 53]",en,147.098006,"[1632, 5420]",['US'],2014-11-18,752100229.0,123.0,['en'],The Hunger Games: Mockingjay - Part 1,6.6,5767.0,2014,627100229.0
25390,250000000,"[28, 12, 14]",en,31.718977,"[11, 12, 174, 7413, 8411]","['NZ', 'US']",2014-12-10,956019788.0,144.0,['en'],The Hobbit: The Battle of the Five Armies,7.1,4884.0,2014,706019788.0
23617,210000000,"[878, 28, 12]",en,18.495599,"[4, 56, 435, 2481, 11413, 22826, 38833, 76043]",['US'],2014-06-25,1091405097.0,165.0,['en'],Transformers: Age of Extinction,5.8,3136.0,2014,881405097.0
