,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
2688,45000000,"[18, 9648, 53, 80]",en,8.708306,[6194],['US'],1993-12-16,195268056.0,141.0,['en'],The Pelican Brief,6.3,377.0,1993,150268056.0
503,26000000,[18],en,13.373006,"[559, 1274]",['US'],1993-12-22,206678440.0,125.0,['en'],Philadelphia,7.6,1019.0,1993,180678440.0
429,70000000,"[28, 12, 53]",en,9.830853,"[559, 5358, 14723, 23246, 45728, 45729]","['FR', 'IT', 'US']",1993-05-28,255000211.0,112.0,['en'],Cliffhanger,6.1,600.0,1993,185000211.0
534,21000000,"[35, 18, 10749]",en,10.234919,[559],['US'],1993-06-24,227799884.0,105.0,['en'],Sleepless in Seattle,6.5,630.0,1993,206799884.0
449,42000000,"[18, 9648, 53]",en,9.678367,"[4, 932, 1302]",['US'],1993-06-30,270248367.0,154.0,['en'],The Firm,6.6,513.0,1993,228248367.0
2157,38000000,[18],en,7.118123,[4],['US'],1993-04-07,266614059.0,117.0,['en'],Indecent Proposal,5.8,300.0,1993,228614059.0
522,22000000,"[18, 36, 10752]",en,41.725123,"[33, 56]",['US'],1993-11-29,321365567.0,195.0,"['de', 'pl', 'he', 'en']",Schindler's List,8.3,4436.0,1993,299365567.0
452,44000000,"[12, 28, 53, 80, 9648]",en,10.08937,[6194],['US'],1993-08-06,368875760.0,130.0,['en'],The Fugitive,7.2,1240.0,1993,324875760.0
495,25000000,"[35, 18, 10751]",en,11.16553,"[306, 10230]",['US'],1993-11-24,441286195.0,125.0,['en'],Mrs. Doubtfire,7.0,1638.0,1993,416286195.0
475,63000000,"[12, 878]",en,8.863776,"[33, 56]",['US'],1993-06-11,920100000.0,127.0,"['en', 'es']",Jurassic Park,7.6,4956.0,1993,857100000.0
