,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
10969,80000000,"[35, 16, 10751]",en,9.382953,"[520, 521]",['US'],2006-04-22,343397247.0,83.0,['en'],Over the Hedge,6.3,1116.0,2006,263397247.0
11405,100000000,"[16, 35]",en,15.088318,"[2537, 8089]",['AU'],2006-11-16,384335608.0,108.0,['en'],Happy Feet,5.9,1457.0,2006,284335608.0
11007,35000000,"[35, 18, 10749]",en,13.102384,"[306, 444, 445, 682, 711]",['US'],2006-06-30,326551094.0,109.0,"['en', 'fr']",The Devil Wears Prada,7.0,3198.0,2006,291551094.0
10979,120000000,"[16, 12, 35, 10751]",en,18.907948,"[2, 3]",['US'],2006-06-08,461983149.0,117.0,"['en', 'it', 'ja', 'yi']",Cars,6.6,3991.0,2006,341983149.0
11662,65000000,"[28, 12, 10752]",en,18.108408,"[449, 923, 2994, 2995, 6194, 7636, 78685]",['US'],2006-12-09,422610419.0,117.0,['en'],300,7.0,5092.0,2006,357610419.0
11404,150000000,"[12, 28, 53]",en,23.065078,"[7576, 11345, 19481]","['IT', 'GB', 'US', 'CZ', 'DE']",2006-11-14,599045960.0,144.0,"['en', 'fr']",Casino Royale,7.3,3930.0,2006,449045960.0
11123,110000000,"[28, 12, 35, 10751, 14]",en,16.661966,"[289, 306, 436, 2575]","['US', 'GB']",2006-10-20,574480841.0,108.0,"['en', 'it', 'he']",Night at the Museum,6.4,2949.0,2006,464480841.0
10826,80000000,"[16, 10751, 35, 12]",en,16.646029,"[9383, 11749]",['US'],2006-03-23,660940780.0,91.0,['en'],Ice Age: The Meltdown,6.5,3034.0,2006,580940780.0
10972,125000000,"[53, 9648]",en,18.566706,"[5, 23, 8253, 19927]","['US', 'MT', 'FR', 'GB']",2006-05-17,767820459.0,149.0,"['en', 'fr', 'la', 'es']",The Da Vinci Code,6.5,2773.0,2006,642820459.0
11008,200000000,"[12, 14, 28]",en,29.455314,"[2, 130, 19936]",['US'],2006-06-20,1065659812.0,151.0,"['en', 'tr', 'el', 'zh']",Pirates of the Caribbean: Dead Man's Chest,7.0,5380.0,2006,865659812.0
