,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1321,70000000,"[28, 53]",en,18.785984,"[306, 1073, 1885]",['US'],1990-07-02,240031094.0,124.0,"['en', 'es']",Die Hard 2,6.6,1920.0,1990,170031094.0
6852,15000000,[35],en,3.67003,"[23, 33]",['US'],1990-12-21,201957688.0,111.0,"['en', 'es']",Kindergarten Cop,5.8,643.0,1990,186957688.0
3318,13500000,"[878, 28, 12, 35, 10751]",en,13.184585,"[12, 2521]","['HK', 'US']",1990-03-30,202000000.0,93.0,"['fr', 'en']",Teenage Mutant Ninja Turtles,6.5,486.0,1990,188500000.0
2800,65000000,"[28, 12, 878]",en,12.954444,"[559, 14723, 80461]",['US'],1990-06-01,261317921.0,113.0,['en'],Total Recall,7.1,1745.0,1990,196317921.0
6866,22000000,"[18, 53, 80, 9648]",en,7.025657,"[932, 6194]",['US'],1990-07-26,221303188.0,127.0,['en'],Presumed Innocent,6.6,155.0,1990,199303188.0
1903,40000000,"[12, 35, 10751, 878]",en,13.043999,"[33, 56, 20448]",['US'],1990-05-25,244527583.0,118.0,['en'],Back to the Future Part III,7.1,2978.0,1990,204527583.0
583,22000000,"[12, 18, 37]",en,11.654349,"[335, 2630]","['GB', 'US']",1990-11-09,424208848.0,181.0,['en'],Dances with Wolves,7.6,1084.0,1990,402208848.0
590,14000000,"[10749, 35]",en,13.348451,"[9195, 10282]",['US'],1990-03-23,463000000.0,119.0,"['en', 'it', 'ja']",Pretty Woman,7.0,1807.0,1990,449000000.0
579,18000000,"[35, 10751]",en,0.702543,"[306, 477]",['US'],1990-11-09,476684675.0,103.0,['en'],Home Alone,7.1,2487.0,1990,458684675.0
580,22000000,"[14, 18, 53, 9648, 10749]",en,11.945397,[4],['US'],1990-07-12,505000000.0,127.0,['en'],Ghost,6.9,1381.0,1990,483000000.0
