,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
4802,6500000,"[27, 9648, 53]",en,9.3806,"[1138, 10317]",['US'],1980-06-25,31899000.0,105.0,['en'],Dressed to Kill,6.8,159.0,1980,25399000.0
3430,6000000,[35],en,10.451986,"[41, 6194]",['US'],1980-07-25,39846344.0,98.0,['en'],Caddyshack,6.7,370.0,1980,33846344.0
4705,15000000,"[18, 10402]",en,2.847277,[33],['US'],1980-03-07,67182787.0,125.0,['en'],Coal Miner's Daughter,7.2,67.0,1980,52182787.0
2834,4500000,"[10749, 12, 18]",en,11.578578,[441],['US'],1980-07-05,58853106.0,104.0,['en'],The Blue Lagoon,5.8,422.0,1980,54353106.0
2041,5000000,"[28, 35]",en,10.973482,"[22284, 22285]","['ZA', 'BW']",1980-09-10,60000000.0,109.0,"['af', 'en']",The Gods Must Be Crazy,7.1,251.0,1980,55000000.0
1865,550000,[27],en,12.146747,"[4, 16779, 17611]",['US'],1980-05-09,59754601.0,95.0,['en'],Friday the 13th,6.4,622.0,1980,59204601.0
2676,3500000,[35],en,13.063203,[4],['US'],1980-07-02,83453539.0,88.0,['en'],Airplane!,7.1,1104.0,1980,79953539.0
1177,27000000,"[10402, 35, 28, 80]",en,10.076901,[33],['US'],1980-06-17,115229890.0,133.0,['en'],The Blues Brothers,7.5,1092.0,1980,88229890.0
2527,54000000,"[28, 12, 14, 878]",en,10.301621,"[6194, 51861, 51862]","['GB', 'US']",1980-12-04,190458706.0,127.0,['en'],Superman II,6.5,642.0,1980,136458706.0
1154,18000000,"[12, 28, 878]",en,19.470959,"[1, 306]",['US'],1980-05-17,538400000.0,124.0,['en'],The Empire Strikes Back,8.2,5998.0,1980,520400000.0
