,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
2919,12000000,"[12, 18]",xx,8.341166,"[999, 2359]","['CA', 'FR', 'US']",1981-12-15,55260558.0,100.0,['xx'],Quest for Fire,7.2,111.0,1981,43260558.0
1094,6000000,"[878, 28]",en,10.124544,"[494, 500, 502, 664]",['US'],1981-05-22,50244700.0,99.0,['en'],Escape from New York,6.9,720.0,1981,44244700.0
1848,5500000,"[18, 36]",en,6.877698,"[306, 6194, 7049, 7965, 8770]",['GB'],1981-05-15,58972904.0,123.0,"['en', 'fr']",Chariots of Fire,6.9,213.0,1981,53472904.0
4268,18000000,[35],en,6.693055,[7997],['US'],1981-06-19,72179579.0,95.0,"['ja', 'zh', 'ar', 'en']",The Cannonball Run,6.2,161.0,1981,54179579.0
1189,14000000,"[28, 18, 36, 10752, 12]",de,8.80338,"[209, 210, 441, 1704, 7025, 11344]",['DE'],1981-09-16,85000000.0,149.0,"['de', 'en', 'fr']",Das Boot,7.9,623.0,1981,71000000.0
1585,10000000,"[28, 35]",en,11.341505,[5848],['US'],1981-06-25,85300000.0,106.0,"['en', 'ru', 'pl']",Stripes,6.5,253.0,1981,75300000.0
3403,7000000,"[35, 18, 10749]",en,14.911301,[41],['US'],1981-07-17,95461682.0,97.0,['en'],Arthur,6.5,125.0,1981,88461682.0
3566,4000000,[35],en,12.650546,"[2124, 10313]","['US', 'CA']",1981-11-13,125728258.0,94.0,['en'],Porky's,6.1,185.0,1981,121728258.0
2873,28000000,"[12, 28, 53]",en,9.765123,"[60, 7576]","['GB', 'US']",1981-06-23,195312802.0,127.0,"['el', 'en', 'it']",For Your Eyes Only,6.3,497.0,1981,167312802.0
1156,18000000,"[12, 28]",en,19.901576,"[1, 4]",['US'],1981-06-12,389925971.0,115.0,"['en', 'es', 'de', 'he', 'ar', 'ne']",Raiders of the Lost Ark,7.7,3949.0,1981,371925971.0
