,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
5734,140000000,"[12, 28, 53]",en,12.996474,[7576],"['GB', 'US']",2002-11-17,431971116.0,133.0,"['en', 'ko', 'cn', 'de', 'es', 'is', 'it']",Die Another Day,5.8,1112.0,2002,291971116.0
5851,52000000,"[18, 80]",en,19.833077,"[367, 368, 11084]",['US'],2002-12-25,352114312.0,141.0,"['en', 'fr']",Catch Me If You Can,7.7,3917.0,2002,300114312.0
5325,140000000,"[28, 12, 35, 878]",en,16.775716,"[5, 56, 441, 49325]",['US'],2002-07-03,441818803.0,88.0,['en'],Men in Black II,6.1,3188.0,2002,301818803.0
5084,59000000,"[16, 35, 10751, 12]",en,17.328902,"[306, 9383, 11749]",['US'],2002-03-10,383257136.0,81.0,['en'],Ice Age,7.1,3954.0,2002,324257136.0
5368,72000000,"[18, 53, 878, 9648]",en,11.211568,"[7383, 9195, 12236]",['US'],2002-08-02,408247917.0,106.0,"['en', 'pt']",Signs,6.4,1624.0,2002,336247917.0
5165,5000000,"[35, 18, 10749]",en,6.719949,"[3268, 4171, 12026, 22210, 95018]","['CA', 'US']",2002-02-22,368744044.0,95.0,"['el', 'en']",My Big Fat Greek Wedding,6.2,686.0,2002,363744044.0
5244,120000000,"[12, 28, 878]",en,14.072511,[1],['US'],2002-05-15,649398328.0,142.0,['en'],Star Wars: Episode II - Attack of the Clones,6.4,4074.0,2002,529398328.0
5215,139000000,"[14, 28]",en,29.413341,"[5, 19551]",['US'],2002-05-01,821708551.0,121.0,['en'],Spider-Man,6.8,5398.0,2002,682708551.0
5678,100000000,"[12, 14, 10751]",en,29.741452,"[436, 437, 6194]","['DE', 'GB', 'US']",2002-11-13,876688482.0,161.0,['en'],Harry Potter and the Chamber of Secrets,7.4,5966.0,2002,776688482.0
5814,79000000,"[12, 14, 28]",en,29.423537,"[11, 12, 5237]","['NZ', 'US']",2002-12-18,926287400.0,179.0,['en'],The Lord of the Rings: The Two Towers,8.0,7641.0,2002,847287400.0
