,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1859,1000000,"[35, 18]",en,12.627678,"[33, 8812, 11043]",['US'],1985-02-15,51525171.0,97.0,['en'],The Breakfast Club,7.8,2189.0,1985,50525171.0
2258,8000000,"[35, 80, 9648]",en,6.040486,[33],['US'],1985-05-31,59612888.0,98.0,['en'],Fletch,6.8,210.0,1985,51612888.0
1596,12000000,"[80, 18, 10749, 53]",en,10.312017,[4],['US'],1985-02-08,68706993.0,113.0,"['de', 'en']",Witness,7.0,390.0,1985,56706993.0
2292,25000000,"[28, 12, 35, 10749]",en,10.571841,"[306, 396, 3470]",['US'],1985-12-04,96773200.0,106.0,"['ar', 'en']",The Jewel of the Nile,6.0,289.0,1985,71773200.0
1850,31000000,[18],en,14.004074,"[33, 205]",['US'],1985-12-20,128499205.0,161.0,"['en', 'sw']",Out of Africa,7.0,290.0,1985,97499205.0
2263,30000000,"[12, 28, 53]",en,12.840798,[7576],"['FR', 'IS', 'GB', 'US']",1985-05-24,152427960.0,131.0,['en'],A View to a Kill,6.0,515.0,1985,122427960.0
2624,15000000,[18],en,11.573562,"[56, 4357, 6194]",['US'],1985-12-18,146292009.0,154.0,['en'],The Color Purple,7.7,345.0,1985,131292009.0
2289,44000000,"[28, 12, 53, 10752]",en,11.924462,"[559, 14723]",['US'],1985-05-21,300400432.0,96.0,"['en', 'vi']",Rambo: First Blood Part II,6.3,884.0,1985,256400432.0
2298,31000000,[18],en,10.25721,[60],['US'],1985-11-21,300473716.0,91.0,['en'],Rocky IV,6.6,984.0,1985,269473716.0
1225,19000000,"[12, 35, 878, 10751]",en,25.778509,"[33, 56, 20448]",['US'],1985-07-03,381109762.0,116.0,['en'],Back to the Future,8.0,6239.0,1985,362109762.0
