,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
2620,25000000,"[28, 12, 35]",en,8.236472,[4],['US'],1986-12-12,79817939.0,94.0,"['cs', 'en', 'it']",The Golden Child,5.6,311.0,1986,54817939.0
2354,20000000,"[18, 53, 9648]",en,11.469751,"[4606, 7110, 20091, 45693]","['FR', 'IT', 'DE']",1986-09-24,77200000.0,130.0,"['en', 'la']",The Name of the Rose,7.2,739.0,1986,57200000.0
2802,6000000,[35],en,12.724645,[4],['US'],1986-06-11,70136369.0,103.0,['en'],Ferris Bueller's Day Off,7.5,1340.0,1986,64136369.0
2032,9000000,"[18, 10751, 16, 12]",en,11.928545,"[33, 56]",['US'],1986-11-21,84542002.0,80.0,['en'],An American Tail,6.6,344.0,1986,75542002.0
1327,24000000,"[878, 12]",en,12.596956,[4],['US'],1986-11-25,133000000.0,119.0,"['en', 'fi']",Star Trek IV: The Voyage Home,6.9,490.0,1986,109000000.0
2308,113,"[12, 18, 28, 10749, 10751]",en,9.231318,"[441, 1174]",['US'],1986-06-18,115103979.0,113.0,['en'],"The Karate Kid, Part II",5.9,457.0,1986,115103866.0
1058,6000000,"[18, 10752, 28]",en,18.206972,"[41, 469]","['GB', 'US']",1986-12-18,138530565.0,120.0,"['en', 'vi']",Platoon,7.5,1236.0,1986,132530565.0
1158,18500000,"[27, 28, 53, 878]",en,21.761179,"[306, 396, 19747]","['GB', 'US']",1986-07-18,183316455.0,137.0,['en'],Aliens,7.7,3282.0,1986,164816455.0
2357,5000000,"[12, 35]",en,7.791212,"[4, 15081]",['AU'],1986-09-26,328203506.0,97.0,['en'],Crocodile Dundee,6.3,512.0,1986,323203506.0
1069,15000000,"[28, 10749, 10752]",en,20.301019,[4],['US'],1986-05-16,356830601.0,110.0,['en'],Top Gun,6.7,1736.0,1986,341830601.0
