,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
3358,6500000,"[18, 10402]",en,6.476534,"[441, 15117]",['US'],1987-07-24,54215416.0,108.0,['en'],La Bamba,6.8,120.0,1987,47715416.0
2085,25000000,"[80, 18, 36, 53]",en,11.062203,[4],['US'],1987-06-02,76270454.0,119.0,['en'],The Untouchables,7.6,1424.0,1987,51270454.0
3406,18000000,"[878, 28, 12, 53]",en,18.495694,"[306, 840, 1302, 1885, 5263, 5264]",['US'],1987-06-11,98235548.0,107.0,"['en', 'es']",Predator,7.3,2129.0,1987,80235548.0
6881,12000000,[35],en,5.409557,[33],['US'],1987-04-10,110996879.0,111.0,['en'],The Secret of My Success,6.2,151.0,1987,98996879.0
1891,15000000,"[12, 28, 35, 53, 80]",en,13.183804,"[1885, 6194]",['US'],1987-03-06,120207127.0,110.0,['en'],Lethal Weapon,7.0,1367.0,1987,105207127.0
3328,13000000,"[35, 18, 10752]",en,9.023282,"[554, 9195]",['US'],1987-12-23,123922370.0,121.0,['en'],"Good Morning, Vietnam",7.1,658.0,1987,110922370.0
3880,40000000,"[28, 12, 53]",en,12.189038,"[60, 7576]","['GB', 'US']",1987-06-29,191185897.0,130.0,"['en', 'ar', 'fr', 'de', 'ru', 'cs', 'sk']",The Living Daylights,6.2,447.0,1987,151185897.0
1056,6000000,"[18, 10402, 10749]",en,14.044122,"[137, 12360]",['US'],1987-08-21,213954274.0,100.0,['en'],Dirty Dancing,7.1,1371.0,1987,207954274.0
3958,20000000,"[28, 35, 80]",en,9.200336,"[4, 30, 10288]",['US'],1987-05-18,299965036.0,100.0,['en'],Beverly Hills Cop II,6.1,627.0,1987,279965036.0
2984,14000000,"[10749, 18, 53, 27, 9648]",en,14.260779,[4],['US'],1987-09-11,320145693.0,119.0,['en'],Fatal Attraction,6.6,305.0,1987,306145693.0
