,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
3669,8200000,"[18, 10751, 10402, 10749]",en,10.403992,"[4, 959]",['US'],1984-02-17,80035402.0,107.0,['en'],Footloose,6.4,525.0,1984,71835402.0
1195,6400000,"[28, 53, 878]",en,19.293562,"[41, 1280, 3952, 4764, 7745]","['GB', 'US']",1984-10-26,78371200.0,108.0,['en'],The Terminator,7.4,4208.0,1984,71971200.0
2293,10000000,"[28, 12, 35, 10749]",en,6.827193,"[306, 396, 1693, 81127]","['MX', 'US']",1984-03-30,86572238.0,106.0,"['fr', 'en', 'es']",Romancing the Stone,6.6,477.0,1984,76572238.0
4910,18000000,"[12, 14, 28]",en,10.151366,"[13, 484]",['US'],1984-06-29,100000000.0,103.0,['en'],Conan the Destroyer,5.8,391.0,1984,82000000.0
2307,8000000,[18],en,7.64499,"[441, 2596, 4267]",['US'],1984-06-22,90815558.0,126.0,['en'],The Karate Kid,6.9,913.0,1984,82815558.0
2265,4500000,"[35, 80]",en,8.354488,"[6194, 7965]",['US'],1984-03-22,146198896.0,96.0,['en'],Police Academy,6.5,614.0,1984,141698896.0
1894,11000000,"[14, 27, 35]",en,11.333125,"[56, 6194]",['US'],1984-06-07,153083102.0,106.0,"['en', 'es']",Gremlins,6.9,1629.0,1984,142083102.0
2601,30000000,"[35, 14]",en,22.089729,"[441, 4267, 47565]",['US'],1984-06-07,295212467.0,107.0,['en'],Ghostbusters,7.3,2431.0,1984,265212467.0
3959,15000000,"[28, 35, 80]",en,8.503483,"[4, 30]",['US'],1984-11-29,316360478.0,105.0,['en'],Beverly Hills Cop,6.8,985.0,1984,301360478.0
2006,28000000,"[12, 28]",en,15.802306,"[1, 4]",['US'],1984-05-23,333000000.0,118.0,"['en', 'si']",Indiana Jones and the Temple of Doom,7.1,2841.0,1984,305000000.0
