,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
313,22000000,"[14, 18, 35, 10751]",en,9.665424,"[2, 915]",['US'],1994-11-10,189833357.0,97.0,['en'],The Santa Clause,6.3,501.0,1994,167833357.0
292,8000000,"[53, 80]",en,140.950236,"[14, 59, 216]",['US'],1994-09-10,213928762.0,154.0,"['en', 'es', 'fr']",Pulp Fiction,8.3,8670.0,1994,205928762.0
227,16000000,[35],en,9.844558,"[12, 11061]",['US'],1994-12-16,247275374.0,107.0,['en'],Dumb and Dumber,6.5,1894.0,1994,231275374.0
352,6000000,"[35, 18, 10749]",en,8.990345,"[181, 1382, 10163]",['GB'],1994-03-09,254700832.0,117.0,['en'],Four Weddings and a Funeral,6.6,654.0,1994,248700832.0
375,115000000,"[28, 53]",en,11.396099,"[306, 574]",['US'],1994-07-14,378882411.0,141.0,"['en', 'fr', 'ar', 'de']",True Lies,6.8,1138.0,1994,263882411.0
350,46000000,"[14, 35, 10751]",en,15.019586,"[33, 56, 1353]",['US'],1994-05-26,341631208.0,91.0,['en'],The Flintstones,5.0,559.0,1994,295631208.0
372,30000000,"[28, 12, 80]",en,10.859292,[306],['US'],1994-06-09,350448145.0,116.0,['en'],Speed,6.8,1814.0,1994,320448145.0
362,23000000,"[10749, 35, 80, 14]",en,14.13488,"[12, 552]",['US'],1994-07-29,351583407.0,101.0,"['sv', 'en']",The Mask,6.6,2550.0,1994,328583407.0
351,55000000,"[35, 18, 10749]",en,48.307194,[4],['US'],1994-07-06,677945399.0,142.0,['en'],Forrest Gump,8.2,8147.0,1994,622945399.0
359,45000000,"[10751, 16, 18]",en,21.605761,"[2, 10217]",['US'],1994-06-23,788241776.0,89.0,['en'],The Lion King,8.0,5520.0,1994,743241776.0
