,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
5940,18000000,"[878, 28, 12, 53]",en,8.97528,[171],['US'],1982-06-13,70687344.0,136.0,"['ru', 'en']",Firefox,5.5,141.0,1982,52687344.0
1248,22000000,"[18, 36]",en,12.383755,"[5, 500, 501, 502, 503, 504]","['IN', 'GB']",1982-11-30,77737889.0,191.0,"['en', 'hi']",Gandhi,7.4,730.0,1982,55737889.0
1515,20000000,"[12, 14, 28]",en,10.52008,"[33, 10308]",['US'],1982-04-02,79114085.0,129.0,['en'],Conan the Barbarian,6.6,663.0,1982,59114085.0
4919,12000000,"[53, 28, 35, 80, 18]",en,15.297121,[4],['US'],1982-12-07,78868508.0,96.0,['en'],48 Hrs.,6.5,364.0,1982,66868508.0
1325,12000000,"[28, 12, 878, 53]",en,7.160236,[4],['US'],1982-06-03,96800000.0,113.0,['en'],Star Trek II: The Wrath of Khan,7.3,688.0,1982,84800000.0
2290,15000000,"[28, 12, 53, 10752]",en,14.778884,[41],['US'],1982-10-22,125212904.0,93.0,['en'],First Blood,7.2,1523.0,1982,110212904.0
1885,10700000,[27],en,11.776326,"[396, 8411]",['US'],1982-06-04,122200000.0,114.0,['en'],Poltergeist,7.1,811.0,1982,111500000.0
4233,21000000,"[35, 10749]",en,8.451188,"[441, 932, 2154, 4267, 10932]",['US'],1982-12-16,177200000.0,116.0,['en'],Tootsie,6.9,429.0,1982,156200000.0
2297,17000000,[18],en,11.673366,[60],['US'],1982-05-28,270000000.0,99.0,['en'],Rocky III,6.6,894.0,1982,253000000.0
1065,10500000,"[878, 12, 10751, 14]",en,19.358546,"[33, 56]",['US'],1982-04-03,792965326.0,115.0,['en'],E.T. the Extra-Terrestrial,7.3,3359.0,1982,782465326.0
