,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
4514,100000000,"[53, 878, 28, 12]",en,17.319836,"[306, 8601, 20004]",['US'],2001-07-25,362211740.0,119.0,['en'],Planet of the Apes,5.6,1270.0,2001,262211740.0
4022,87000000,"[80, 18, 53, 27]",en,2.48875,"[33, 1645, 8411, 10308]","['GB', 'US']",2001-02-08,351692268.0,131.0,['en'],Hannibal,6.4,1296.0,2001,264692268.0
4509,93000000,"[12, 28, 53, 878]",en,0.648867,"[13, 56]",['US'],2001-07-18,368780809.0,92.0,"['en', 'es']",Jurassic Park III,5.7,2109.0,2001,275780809.0
4182,140000000,"[36, 10749, 10752]",en,11.419388,"[130, 9195]",['US'],2001-05-21,449220945.0,183.0,"['fr', 'en', 'ja']",Pearl Harbor,6.6,1833.0,2001,309220945.0
4142,98000000,"[12, 28, 14]",en,16.945657,"[33, 11462, 20242]",['US'],2001-04-28,433013274.0,130.0,"['en', 'ar']",The Mummy Returns,6.0,2258.0,2001,335013274.0
4833,85000000,"[53, 80]",en,12.114932,"[79, 129, 172, 2596, 6194, 24939]",['US'],2001-12-07,450717150.0,116.0,"['it', 'en']",Ocean's Eleven,7.2,3857.0,2001,365717150.0
4178,60000000,"[12, 16, 35, 10751, 14]",en,17.987728,"[27, 520, 521]",['US'],2001-05-16,484409218.0,90.0,['en'],Shrek,7.3,4183.0,2001,424409218.0
4756,115000000,"[16, 35, 10751]",en,26.419962,"[2, 3]",['US'],2001-11-01,562816256.0,92.0,['en'],"Monsters, Inc.",7.5,6150.0,2001,447816256.0
4863,93000000,"[12, 14, 28]",en,32.070725,"[11, 12, 5237]","['NZ', 'US']",2001-12-18,871368364.0,178.0,['en'],The Lord of the Rings: The Fellowship of the Ring,8.0,8892.0,2001,778368364.0
4766,125000000,"[12, 14, 10751]",en,38.187238,"[436, 6194, 7364]","['GB', 'US']",2001-11-16,976475550.0,152.0,['en'],Harry Potter and the Philosopher's Stone,7.5,7188.0,2001,851475550.0
