,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
16964,90000000,"[16, 12, 35, 10751]",en,10.403228,"[9383, 11749]",['US'],2011-04-03,484635760.0,96.0,"['en', 'pt']",Rio,6.5,2213.0,2011,394635760.0
18465,13000000,"[18, 35]",fr,16.086919,"[9, 3823, 5358, 6301, 7038, 7766, 8018, 22123]",['FR'],2011-11-02,426480871.0,112.0,"['en', 'fr']",The Intouchables,8.2,5410.0,2011,413480871.0
17498,110000000,"[16, 10751, 12, 35, 14]",en,10.219758,"[5, 2251, 7311]",['US'],2011-07-29,563749323.0,103.0,['en'],The Smurfs,5.5,1201.0,2011,453749323.0
17052,125000000,"[28, 53, 80]",en,1.420361,"[33, 333, 1225]",['US'],2011-04-20,626137675.0,130.0,"['en', 'es', 'pt', 'it']",Fast Five,7.1,2491.0,2011,501137675.0
17213,150000000,"[16, 10751]",en,11.481921,[521],['US'],2011-05-25,665692281.0,91.0,['en'],Kung Fu Panda 2,6.7,1925.0,2011,515692281.0
18289,145000000,"[28, 53, 12]",en,14.25843,"[4, 6277, 11461, 21777, 76043, 76067]","['CZ', 'US', 'AE']",2011-12-07,694713380.0,133.0,"['en', 'ru', 'fr', 'ar', 'sv']",Mission: Impossible - Ghost Protocol,6.8,4026.0,2011,549713380.0
18150,110000000,"[12, 14, 10749]",en,25.9725,"[491, 5219, 6446, 7490, 7491, 12292, 58321, 58322]",['US'],2011-03-15,712171856.0,117.0,"['en', 'pt']",The Twilight Saga: Breaking Dawn - Part 1,5.8,2622.0,2011,602171856.0
17124,380000000,"[12, 28, 14]",en,27.88772,"[2, 130, 20478]",['US'],2011-05-14,1045713802.0,136.0,"['en', 'es']",Pirates of the Caribbean: On Stranger Tides,6.4,5068.0,2011,665713802.0
17293,195000000,"[28, 878, 12]",en,4.503505,"[4, 435, 19751, 22826]",['US'],2011-06-28,1123746996.0,154.0,['en'],Transformers: Dark of the Moon,6.1,3351.0,2011,928746996.0
17437,125000000,"[10751, 14, 12]",en,24.990737,"[6194, 7364]","['GB', 'US']",2011-07-07,1342000000.0,130.0,['en'],Harry Potter and the Deathly Hallows: Part 2,7.9,6141.0,2011,1217000000.0
