,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
14562,75000000,"[35, 10751, 16, 14, 10402]",en,9.909961,"[508, 711, 10930]",['US'],2009-12-21,443140005.0,88.0,"['en', 'fr']",Alvin and the Chipmunks: The Squeakquel,5.3,688.0,2009,368140005.0
13746,35000000,[35],en,23.947351,"[923, 3527, 6194, 12235]","['DE', 'US']",2009-06-05,459270619.0,100.0,['en'],The Hangover,7.2,6324.0,2009,424270619.0
14557,90000000,"[28, 12, 80, 9648]",en,15.68604,"[79, 1885, 6194, 19855, 23202]","['DE', 'GB', 'US']",2009-12-23,524028679.0,128.0,"['en', 'fr']",Sherlock Holmes,7.0,5883.0,2009,434028679.0
13724,175000000,"[16, 35, 10751, 12]",en,19.330884,[3],['US'],2009-05-13,735099082.0,96.0,['en'],Up,7.8,7048.0,2009,560099082.0
14416,200000000,"[28, 12, 878]",en,16.698628,"[5, 347, 1557, 10905]","['CA', 'US']",2009-10-10,769653595.0,158.0,"['en', 'fr', 'hi', 'it', 'la', 'zh', 'pt', 'ru', 'bo']",2012,5.6,4994.0,2009,569653595.0
14425,50000000,"[12, 14, 18, 10749]",en,30.121292,"[491, 4000, 5218, 5219, 12292]",['US'],2009-03-15,709827462.0,130.0,"['en', 'it']",The Twilight Saga: New Moon,5.6,2518.0,2009,659827462.0
13893,250000000,"[12, 14, 10751]",en,19.083723,"[6194, 7364]","['GB', 'US']",2009-07-07,933959197.0,153.0,['en'],Harry Potter and the Half-Blood Prince,7.4,5435.0,2009,683959197.0
13833,150000000,"[878, 28, 12]",en,4.351756,"[4, 27, 56, 435, 2481, 22826, 76043]",['US'],2009-06-19,836297228.0,150.0,"['en', 'es']",Transformers: Revenge of the Fallen,6.0,3192.0,2009,686297228.0
13848,90000000,"[16, 35, 10751, 12]",en,12.980624,"[9383, 11749]",['US'],2009-06-29,886686817.0,94.0,['en'],Ice Age: Dawn of the Dinosaurs,6.5,2330.0,2009,796686817.0
14551,237000000,"[28, 12, 14, 878]",en,185.070892,"[289, 306, 444, 574]","['US', 'GB']",2009-12-10,2787965087.0,162.0,"['en', 'es']",Avatar,7.2,12114.0,2009,2550965087.0
