,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
30051,108000000,"[18, 12, 878]",en,25.62993,"[306, 1645, 2735, 6408, 22213, 28788]",['US'],2015-09-30,630161890.0,141.0,"['en', 'zh']",The Martian,7.6,7442.0,2015,522161890.0
27478,40000000,"[18, 10749, 53]",en,33.068431,"[10146, 11801, 27551]",['US'],2015-02-11,571006128.0,125.0,['en'],Fifty Shades of Grey,5.2,3350.0,2015,531006128.0
23472,150000000,"[28, 12, 53]",en,17.836882,"[4, 6277, 11413, 11461, 21777, 69484, 69485]","['CN', 'US']",2015-07-23,682330139.0,131.0,"['de', 'en', 'sv']",Mission: Impossible - Rogue Nation,7.1,3274.0,2015,532330139.0
30761,245000000,"[28, 12, 80]",en,24.926577,"[5, 10761, 69434]","['GB', 'US']",2015-10-26,880674609.0,148.0,"['fr', 'en', 'es', 'it', 'de']",Spectre,6.3,4552.0,2015,635674609.0
30315,175000000,"[18, 35, 16, 10751]",en,23.985587,"[2, 3]",['US'],2015-06-09,857611174.0,94.0,['en'],Inside Out,7.9,6737.0,2015,682611174.0
30700,74000000,"[10751, 16, 12, 35]",en,547.488298,"[33, 6704]",['US'],2015-06-17,1156730962.0,91.0,['en'],Minions,6.4,4729.0,2015,1082730962.0
26558,280000000,"[28, 12, 878]",en,37.37942,"[420, 15357, 76043]",['US'],2015-04-22,1405403694.0,141.0,['en'],Avengers: Age of Ultron,7.3,6908.0,2015,1125403694.0
28830,190000000,[28],en,27.275687,"[33, 333, 3341, 6452, 7154, 40890, 86352, 86655, 87857, 87858]","['JP', 'US']",2015-04-01,1506249360.0,137.0,['en'],Furious 7,7.3,4253.0,2015,1316249360.0
25084,150000000,"[28, 12, 878, 53]",en,32.790475,"[13, 56, 923, 3341, 6452]",['US'],2015-06-09,1513528810.0,124.0,['en'],Jurassic World,6.5,8842.0,2015,1363528810.0
26555,245000000,"[28, 12, 878, 14]",en,31.626013,"[1, 1634, 11461]",['US'],2015-12-15,2068223624.0,136.0,['en'],Star Wars: The Force Awakens,7.5,7993.0,2015,1823223624.0
