,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
10196,40000000,"[35, 10749]",en,11.100597,"[12, 870, 1565]",['US'],2005-07-14,285176741.0,119.0,['en'],Wedding Crashers,6.4,1406.0,2005,245176741.0
9704,70000000,"[35, 18, 10749]",en,13.35076,"[441, 12485]",['US'],2005-02-10,368100420.0,118.0,['en'],Hitch,6.3,1721.0,2005,298100420.0
9536,150000000,"[12, 35, 10751, 14]",en,22.038405,"[79, 80, 6194, 8601, 45778, 55512]","['AU', 'GB', 'US']",2005-07-13,474968763.0,115.0,['en'],Charlie and the Chocolate Factory,6.7,3759.0,2005,324968763.0
10598,207000000,"[12, 18, 28]",en,19.761164,"[11, 33, 68, 69]","['NZ', 'US', 'DE']",2005-12-14,550000000.0,187.0,['en'],King Kong,6.6,2403.0,2005,343000000.0
10104,110000000,"[28, 35, 18, 53]",en,15.724373,"[433, 491, 508, 1171, 10104]",['US'],2005-06-07,478207520.0,120.0,"['en', 'es']",Mr. & Mrs. Smith,6.5,3048.0,2005,368207520.0
10089,75000000,"[10751, 16]",en,16.136217,"[27, 520, 521]",['US'],2005-05-25,532680671.0,86.0,"['en', 'fr', 'pt', 'es', 'th']",Madagascar,6.6,3322.0,2005,457680671.0
10177,132000000,"[12, 53, 878]",en,19.929377,"[4, 27, 44, 56]",['US'],2005-06-28,591739379.0,116.0,['en'],War of the Worlds,6.2,2397.0,2005,459739379.0
10597,180000000,"[12, 10751, 14]",en,18.13542,"[5888, 10221]","['GB', 'US']",2005-12-07,748806957.0,143.0,"['en', 'de']","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2709.0,2005,568806957.0
10069,113000000,"[878, 12, 28]",en,13.165421,[1],['US'],2005-05-17,850000000.0,140.0,['en'],Star Wars: Episode III - Revenge of the Sith,7.1,4200.0,2005,737000000.0
10554,150000000,"[12, 14, 10751]",en,24.903058,"[462, 6194, 7364]","['GB', 'US']",2005-11-05,895921036.0,157.0,"['en', 'fr']",Harry Potter and the Goblet of Fire,7.5,5758.0,2005,745921036.0
