,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1604,60000000,"[35, 18]",en,13.155901,"[4, 258]",['US'],1998-06-04,264118201.0,103.0,['en'],The Truman Show,7.8,4702.0,1998,204118201.0
2160,33000000,"[28, 35, 80, 53]",en,11.840557,[12],['US'],1998-09-18,244386864.0,98.0,['en'],Rush Hour,6.8,1254.0,1998,211386864.0
1798,90000000,"[16, 10751, 12]",en,21.180857,"[2, 10217]",['US'],1998-06-18,304320254.0,88.0,"['en', 'zh']",Mulan,7.6,2089.0,1998,214320254.0
1802,71000000,"[35, 10751, 14]",en,9.439079,"[306, 1301, 1302]",['US'],1998-06-22,294456605.0,85.0,['en'],Doctor Dolittle,5.4,705.0,1998,223456605.0
2242,120000000,"[12, 16, 35, 10751]",en,16.869209,"[2, 3]",['US'],1998-11-25,363258859.0,95.0,['en'],A Bug's Life,6.8,2379.0,1998,243258859.0
1773,130000000,"[878, 28, 53]",en,11.295121,"[559, 620, 882, 2833, 11343]",['US'],1998-05-20,379014294.0,139.0,"['en', 'fr', 'ja', 'ru', 'es']",Godzilla,5.3,1075.0,1998,249014294.0
2283,25000000,"[10749, 36]",en,13.813155,"[14, 33, 348]",['US'],1998-12-11,289317794.0,122.0,['en'],Shakespeare in Love,6.8,831.0,1998,264317794.0
1814,23000000,"[10749, 35]",en,11.688958,[306],['US'],1998-07-15,369884651.0,119.0,['en'],There's Something About Mary,6.5,1616.0,1998,346884651.0
1919,70000000,"[18, 36, 10752]",en,21.758054,"[4, 27, 56, 762, 11362]",['US'],1998-07-24,481840909.0,169.0,"['cs', 'de', 'en', 'fr']",Saving Private Ryan,7.9,5148.0,1998,411840909.0
1808,140000000,"[28, 53, 878, 12]",en,13.235112,"[130, 9195, 11533]",['US'],1998-07-01,553799566.0,151.0,"['en', 'ru']",Armageddon,6.5,2540.0,1998,413799566.0
