,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
4193,27000000,"[28, 12, 35, 18, 37]",en,7.334686,"[5, 12, 97]",['US'],1991-06-07,179033791.0,112.0,"['en', 'de']",City Slickers,6.2,232.0,1991,152033791.0
5407,26000000,"[28, 35, 10752]",en,11.026793,[306],['US'],1991-07-31,181096164.0,84.0,['en'],Hot Shots!,6.4,588.0,1991,155096164.0
6661,19000000,"[18, 80, 53]",en,8.560694,[306],['US'],1991-02-08,174999005.0,99.0,"['en', 'fr']",Sleeping with the Enemy,6.1,228.0,1991,155999005.0
2015,30000000,"[27, 35, 14]",en,12.962525,"[4, 41, 258]",['US'],1991-11-22,191502426.0,99.0,['en'],The Addams Family,6.7,871.0,1991,161502426.0
3267,40000000,"[18, 53, 36]",en,13.813146,"[523, 524, 525, 6194]",['US'],1991-12-20,205405498.0,189.0,"['en', 'es']",JFK,7.5,513.0,1991,165405498.0
3368,70000000,"[12, 14, 35, 10751]",en,14.508137,"[56, 559]",['US'],1991-12-11,300854823.0,144.0,['en'],Hook,6.7,1563.0,1991,230854823.0
586,19000000,"[80, 18, 53]",en,4.307222,"[41, 55072]",['US'],1991-02-01,272742922.0,119.0,['en'],The Silence of the Lambs,8.1,4549.0,1991,253742922.0
998,48000000,[12],en,10.639244,"[6194, 10210]",['US'],1991-06-14,390493908.0,143.0,['en'],Robin Hood: Prince of Thieves,6.6,937.0,1991,342493908.0
588,25000000,"[10749, 10751, 16, 14, 10402]",en,23.433511,"[2, 6125, 10282]",['US'],1991-11-13,377350553.0,84.0,"['fr', 'en']",Beauty and the Beast,7.5,3029.0,1991,352350553.0
582,100000000,"[28, 53, 878]",en,22.661695,"[574, 1280, 5358, 14723, 61409]","['FR', 'US']",1991-07-01,520000000.0,137.0,"['en', 'es']",Terminator 2: Judgment Day,7.7,4274.0,1991,420000000.0
