,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
3883,14000000,"[18, 10752]",en,13.617646,"[33, 4198]",['US'],1989-12-20,161001698.0,145.0,"['en', 'es']",Born on the Fourth of July,6.7,403.0,1989,147001698.0
2602,37000000,"[35, 14]",en,16.414239,[441],['US'],1989-06-15,215394738.0,108.0,['en'],Ghostbusters II,6.3,1131.0,1989,178394738.0
1972,40000000,"[16, 10751]",en,17.496832,"[2, 10282]",['US'],1989-11-17,222300000.0,83.0,"['en', 'fr']",The Little Mermaid,7.2,1921.0,1989,182300000.0
1945,32000000,"[12, 35, 10751, 878]",en,12.358786,[32],['US'],1989-06-22,222724172.0,93.0,['en'],"Honey, I Shrunk the Kids",6.1,756.0,1989,190724172.0
1892,25000000,"[28, 12, 35, 80, 53]",en,12.834276,"[1885, 6194]",['US'],1989-07-07,227853986.0,114.0,"['en', 'af']",Lethal Weapon 2,6.7,1066.0,1989,202853986.0
1201,16400000,[18],en,19.905716,"[9195, 10282]",['US'],1989-06-02,235860116.0,129.0,['en'],Dead Poets Society,8.1,2786.0,1989,219460116.0
4492,7500000,"[35, 10749]",en,5.795045,"[559, 8821]",['US'],1989-10-12,296000000.0,93.0,['en'],Look Who's Talking,5.8,546.0,1989,288500000.0
1902,40000000,"[12, 35, 10751, 878]",en,13.689855,"[33, 56, 20448]",['US'],1989-11-20,332000000.0,108.0,['en'],Back to the Future Part II,7.4,3926.0,1989,292000000.0
585,35000000,"[14, 28]",en,19.10673,"[1382, 4357, 6194]","['GB', 'US']",1989-06-23,411348924.0,126.0,"['en', 'fr']",Batman,7.0,2145.0,1989,376348924.0
1246,48000000,"[12, 28]",en,14.788987,"[1, 4]",['US'],1989-05-24,474171806.0,127.0,"['de', 'el', 'en']",Indiana Jones and the Last Crusade,7.6,3221.0,1989,426171806.0
